"Time-UTC","MDRM1-Hourly-Air_Temperatures_Deg_F","MDRM1-Hourly-Wind_Speed_mph"
"2022-04-30 23:00:00 UTC","45.7","3"
"2022-05-01 00:00:00 UTC","45.5","3"
"2022-05-01 01:00:00 UTC","44.6","9"
"2022-05-01 02:00:00 UTC","43.7","8"
"2022-05-01 03:00:00 UTC","43.7","6"
"2022-05-01 04:00:00 UTC","44.1","7"
"2022-05-01 05:00:00 UTC","44.4","7"
"2022-05-01 06:00:00 UTC","44.2","0"
"2022-05-01 07:00:00 UTC","44.4","2"
"2022-05-01 08:00:00 UTC","43.3","13"
"2022-05-01 09:00:00 UTC","42.4","9"
"2022-05-01 10:00:00 UTC","42.1","17"
"2022-05-01 11:00:00 UTC","41.4","16"
"2022-05-01 12:00:00 UTC","41.0","16"
"2022-05-01 13:00:00 UTC","41.2","11"
"2022-05-01 14:00:00 UTC","41.9","9"
"2022-05-01 15:00:00 UTC","42.4","5"
"2022-05-01 16:00:00 UTC","44.6","2"
"2022-05-01 17:00:00 UTC","46.4","6"
"2022-05-01 18:00:00 UTC","47.7","7"
"2022-05-01 19:00:00 UTC","46.6","9"
"2022-05-01 20:00:00 UTC","46.9","10"
"2022-05-01 21:00:00 UTC","45.3","14"
"2022-05-01 22:00:00 UTC","44.2","13"
"2022-05-01 23:00:00 UTC","43.7","10"
"2022-05-02 00:00:00 UTC","43.5","9"
"2022-05-02 01:00:00 UTC","43.5","5"
"2022-05-02 02:00:00 UTC","43.3","6"
"2022-05-02 03:00:00 UTC","43.3","6"
"2022-05-02 04:00:00 UTC","43.3","5"
"2022-05-02 05:00:00 UTC","43.2","5"
"2022-05-02 06:00:00 UTC","43.2","6"
"2022-05-02 07:00:00 UTC","43.5","13"
"2022-05-02 08:00:00 UTC","43.5","8"
"2022-05-02 09:00:00 UTC","43.3","8"
"2022-05-02 10:00:00 UTC","43.5","6"
"2022-05-02 11:00:00 UTC","43.9","7"
"2022-05-02 12:00:00 UTC","43.5","13"
"2022-05-02 13:00:00 UTC","43.7","7"
"2022-05-02 14:00:00 UTC","43.3","13"
"2022-05-02 15:00:00 UTC","43.7","10"
"2022-05-02 16:00:00 UTC","43.0","11"
"2022-05-02 17:00:00 UTC","42.6","14"
"2022-05-02 18:00:00 UTC","44.8","13"
"2022-05-02 19:00:00 UTC","46.0","13"
"2022-05-02 20:00:00 UTC","46.0","13"
"2022-05-02 21:00:00 UTC","47.5","10"
"2022-05-02 22:00:00 UTC","49.5","8"
"2022-05-02 23:00:00 UTC","47.8","7"
"2022-05-03 00:00:00 UTC","44.8","7"
"2022-05-03 01:00:00 UTC","44.8","6"
"2022-05-03 02:00:00 UTC","44.6","3"
"2022-05-03 03:00:00 UTC","44.6","5"
"2022-05-03 04:00:00 UTC","44.8","3"
"2022-05-03 05:00:00 UTC","44.6","7"
"2022-05-03 06:00:00 UTC","44.8","7"
"2022-05-03 07:00:00 UTC","44.6","3"
"2022-05-03 08:00:00 UTC","44.1","5"
"2022-05-03 09:00:00 UTC","44.2","5"
"2022-05-03 10:00:00 UTC","44.8","3"
"2022-05-03 11:00:00 UTC","45.7","2"
"2022-05-03 12:00:00 UTC","44.4","8"
"2022-05-03 13:00:00 UTC","44.6","7"
"2022-05-03 14:00:00 UTC","46.4","3"
"2022-05-03 15:00:00 UTC","45.1","8"
"2022-05-03 16:00:00 UTC","45.3","8"
"2022-05-03 17:00:00 UTC","45.5","7"
"2022-05-03 18:00:00 UTC","46.9","5"
"2022-05-03 19:00:00 UTC","46.8","9"
"2022-05-03 20:00:00 UTC","48.0","10"
"2022-05-03 21:00:00 UTC","49.3","8"
"2022-05-03 22:00:00 UTC","48.7","10"
"2022-05-03 23:00:00 UTC","47.5","11"
"2022-05-04 00:00:00 UTC","45.5","11"
"2022-05-04 01:00:00 UTC","45.3","11"
"2022-05-04 02:00:00 UTC","45.0","10"
"2022-05-04 03:00:00 UTC","45.0","11"
"2022-05-04 04:00:00 UTC","44.8","11"
"2022-05-04 05:00:00 UTC","44.6","13"
"2022-05-04 06:00:00 UTC","44.8","14"
"2022-05-04 07:00:00 UTC","44.8","13"
"2022-05-04 08:00:00 UTC","44.6","11"
"2022-05-04 09:00:00 UTC","44.6","11"
"2022-05-04 10:00:00 UTC","44.6","11"
"2022-05-04 11:00:00 UTC","44.8","11"
"2022-05-04 12:00:00 UTC","45.1","15"
"2022-05-04 13:00:00 UTC","45.9","13"
"2022-05-04 14:00:00 UTC","46.9","10"
"2022-05-04 15:00:00 UTC","46.8","14"
"2022-05-04 16:00:00 UTC","46.4","15"
"2022-05-04 17:00:00 UTC","45.7","14"
"2022-05-04 18:00:00 UTC","45.3","15"
"2022-05-04 19:00:00 UTC","45.0","15"
"2022-05-04 20:00:00 UTC","44.6","16"
"2022-05-04 21:00:00 UTC","44.4","17"
"2022-05-04 22:00:00 UTC","44.2","18"
"2022-05-04 23:00:00 UTC","44.4","17"
"2022-05-05 00:00:00 UTC","44.2","20"
"2022-05-05 01:00:00 UTC","43.9","16"
"2022-05-05 02:00:00 UTC","43.9","10"
"2022-05-05 03:00:00 UTC","43.7","13"
"2022-05-05 04:00:00 UTC","43.7","14"
"2022-05-05 05:00:00 UTC","43.5","17"
"2022-05-05 06:00:00 UTC","43.3","17"
"2022-05-05 07:00:00 UTC","43.5","18"
"2022-05-05 08:00:00 UTC","43.7","17"
"2022-05-05 09:00:00 UTC","43.9","13"
"2022-05-05 10:00:00 UTC","44.1","11"
"2022-05-05 11:00:00 UTC","44.1","11"
"2022-05-05 12:00:00 UTC","46.0","17"
"2022-05-05 13:00:00 UTC","45.7","16"
"2022-05-05 14:00:00 UTC","45.7","3"
"2022-05-05 15:00:00 UTC","46.8","13"
"2022-05-05 16:00:00 UTC","48.0","10"
"2022-05-05 17:00:00 UTC","47.1","14"
"2022-05-05 18:00:00 UTC","49.5","18"
"2022-05-05 19:00:00 UTC","48.6","14"
"2022-05-05 20:00:00 UTC","47.7","16"
"2022-05-05 21:00:00 UTC","49.3","11"
"2022-05-05 22:00:00 UTC","49.1","11"
"2022-05-05 23:00:00 UTC","49.6","18"
"2022-05-06 00:00:00 UTC","47.8","20"
"2022-05-06 01:00:00 UTC","47.8","16"
"2022-05-06 02:00:00 UTC","48.7","11"
"2022-05-06 03:00:00 UTC","48.4","14"
"2022-05-06 04:00:00 UTC","50.4","17"
"2022-05-06 05:00:00 UTC","50.0","11"
"2022-05-06 06:00:00 UTC","48.9","10"
"2022-05-06 07:00:00 UTC","47.1","11"
"2022-05-06 08:00:00 UTC","45.1","16"
"2022-05-06 09:00:00 UTC","44.4","10"
"2022-05-06 10:00:00 UTC","44.4","9"
"2022-05-06 11:00:00 UTC","44.2","7"
"2022-05-06 12:00:00 UTC","44.8","6"
"2022-05-06 13:00:00 UTC","46.2","2"
"2022-05-06 14:00:00 UTC","48.9","2"
"2022-05-06 15:00:00 UTC","48.9","5"
"2022-05-06 16:00:00 UTC","48.2","8"
"2022-05-06 17:00:00 UTC","48.2","11"
"2022-05-06 18:00:00 UTC","48.6","10"
"2022-05-06 19:00:00 UTC","48.7","10"
"2022-05-06 20:00:00 UTC","48.0","15"
"2022-05-06 21:00:00 UTC","48.0","15"
"2022-05-06 22:00:00 UTC","47.3","11"
"2022-05-06 23:00:00 UTC","46.8","14"
"2022-05-07 00:00:00 UTC","46.6","15"
"2022-05-07 01:00:00 UTC","46.4","11"
"2022-05-07 02:00:00 UTC","46.4","6"
"2022-05-07 03:00:00 UTC","46.4","3"
"2022-05-07 04:00:00 UTC","45.9","13"
"2022-05-07 05:00:00 UTC","44.6","25"
"2022-05-07 06:00:00 UTC","44.1","29"
"2022-05-07 07:00:00 UTC","43.5","29"
"2022-05-07 08:00:00 UTC","43.0","29"
"2022-05-07 09:00:00 UTC","43.0","26"
"2022-05-07 10:00:00 UTC","42.8","29"
"2022-05-07 11:00:00 UTC","42.3","26"
"2022-05-07 12:00:00 UTC","42.3","25"
"2022-05-07 13:00:00 UTC","42.3","25"
"2022-05-07 14:00:00 UTC","42.1","28"
"2022-05-07 15:00:00 UTC","42.6","23"
"2022-05-07 16:00:00 UTC","43.0","21"
"2022-05-07 17:00:00 UTC","43.7","26"
"2022-05-07 18:00:00 UTC","44.6","26"
"2022-05-07 19:00:00 UTC","45.0","24"
"2022-05-07 20:00:00 UTC","45.5","20"
"2022-05-07 21:00:00 UTC","46.4","18"
"2022-05-07 22:00:00 UTC","46.4","11"
"2022-05-07 23:00:00 UTC","46.2","9"
"2022-05-08 00:00:00 UTC","45.3","7"
"2022-05-08 01:00:00 UTC","45.0","6"
"2022-05-08 02:00:00 UTC","44.1","6"
"2022-05-08 03:00:00 UTC","43.9","8"
"2022-05-08 04:00:00 UTC","43.7","9"
"2022-05-08 05:00:00 UTC","43.9","11"
"2022-05-08 06:00:00 UTC","44.1","10"
"2022-05-08 07:00:00 UTC","44.4","9"
"2022-05-08 08:00:00 UTC","44.2","11"
"2022-05-08 09:00:00 UTC","43.9","16"
"2022-05-08 10:00:00 UTC","43.7","16"
"2022-05-08 11:00:00 UTC","43.9","20"
