year,month,day,hour,wind_speed,air_temp
2023,05,01,00,20.5,7.2
2023,05,01,01,21.3,7.5
2023,05,01,02,21.0,7.5
2023,05,01,03,21.5,7.6
2023,05,01,04,23.3,8.3
2023,05,01,05,22.7,8.0
2023,05,01,06,22.3,7.9
2023,05,01,07,21.8,8.4
2023,05,01,08,21.5,8.2
2023,05,01,09,23.0,8.5
2023,05,01,10,22.7,9.2
2023,05,01,11,22.2,9.5
2023,05,01,12,18.8,9.3
2023,05,01,13,16.7,9.4
2023,05,01,14,15.4,9.1
2023,05,01,15,15.3,9.1
2023,05,01,16,13.7,8.8
2023,05,01,17,14.0,8.7
2023,05,01,18,11.6,8.7
2023,05,01,19,10.9,8.9
2023,05,01,20,9.0,8.9
2023,05,01,21,8.8,8.8
2023,05,01,22,9.7,8.8
2023,05,01,23,9.7,8.4
2023,05,02,00,8.7,7.9
2023,05,02,01,8.6,7.3
2023,05,02,02,9.9,7.4
2023,05,02,03,9.0,7.3
2023,05,02,04,9.6,7.5
2023,05,02,05,8.2,7.3
2023,05,02,06,8.9,7.3
2023,05,02,07,8.2,7.5
2023,05,02,08,6.8,7.6
2023,05,02,09,6.4,7.4
2023,05,02,10,6.7,7.3
2023,05,02,11,6.2,7.4
2023,05,02,12,6.8,8.5
2023,05,02,13,6.2,8.7
2023,05,02,14,6.2,7.9
2023,05,02,15,6.9,7.6
2023,05,02,16,7.7,7.4
2023,05,02,17,9.5,7.3
2023,05,02,18,9.2,6.9
2023,05,02,19,9.3,6.6
2023,05,02,20,9.0,5.7
2023,05,02,21,9.5,6.2
2023,05,02,22,8.4,6.4
2023,05,02,23,8.2,6.5
2023,05,03,00,8.6,6.6
2023,05,03,01,8.3,5.7
2023,05,03,02,9.3,6.0
2023,05,03,03,10.7,5.8
2023,05,03,04,12.0,5.9
2023,05,03,05,11.1,5.9
2023,05,03,06,12.4,5.5
2023,05,03,07,11.3,5.2
2023,05,03,08,8.4,5.3
2023,05,03,09,9.2,5.3
2023,05,03,10,8.0,5.3
2023,05,03,11,8.5,5.3
2023,05,03,12,8.0,5.3
2023,05,03,13,8.3,5.3
2023,05,03,14,9.0,5.4
2023,05,03,15,8.2,5.2
2023,05,03,16,8.9,5.4
2023,05,03,17,8.9,5.3
2023,05,03,18,8.7,5.4
2023,05,03,19,7.9,5.6
2023,05,03,20,10.6,5.8
2023,05,03,21,11.9,5.9
2023,05,03,22,11.2,5.8
2023,05,03,23,11.5,5.7
2023,05,04,00,12.1,5.7
2023,05,04,01,13.4,5.7
2023,05,04,02,13.0,5.3
2023,05,04,03,12.2,4.9
2023,05,04,04,13.3,4.8
2023,05,04,05,11.9,4.9
2023,05,04,06,12.3,4.7
2023,05,04,07,11.3,4.6
2023,05,04,08,11.8,4.6
2023,05,04,09,11.6,4.6
2023,05,04,10,11.4,4.5
2023,05,04,11,11.2,4.7
2023,05,04,12,10.9,4.9
2023,05,04,13,12.0,4.8
2023,05,04,14,10.9,5.3
2023,05,04,15,10.7,5.7
2023,05,04,16,8.2,6.2
2023,05,04,17,6.8,6.5
2023,05,04,18,7.4,7.0
2023,05,04,19,9.1,6.9
2023,05,04,20,7.1,6.6
2023,05,04,21,5.1,6.4
2023,05,04,22,8.8,7.3
2023,05,04,23,8.6,7.0
2023,05,05,00,8.9,7.0
2023,05,05,01,9.1,7.0
2023,05,05,02,11.2,7.0
2023,05,05,03,9.3,6.7
2023,05,05,04,10.1,6.5
2023,05,05,05,9.9,6.4
2023,05,05,06,11.4,6.3
2023,05,05,07,11.4,6.2
2023,05,05,08,10.3,6.2
2023,05,05,09,10.5,6.2
2023,05,05,10,10.1,6.1
2023,05,05,11,9.4,6.0
2023,05,05,12,10.2,6.1
2023,05,05,13,5.2,6.1
2023,05,05,14,4.5,6.6
2023,05,05,15,5.0,7.2
2023,05,05,16,3.3,7.9
2023,05,05,17,2.5,8.8
2023,05,05,18,2.7,8.8
2023,05,05,19,3.9,10.6
2023,05,05,20,5.0,9.9
2023,05,05,21,5.4,9.6
2023,05,05,22,6.4,9.3
2023,05,05,23,4.9,8.7
2023,05,06,00,6.6,7.6
2023,05,06,01,6.7,7.5
2023,05,06,02,6.6,7.4
2023,05,06,03,6.3,7.3
2023,05,06,04,5.4,7.0
2023,05,06,05,4.3,7.4
2023,05,06,06,3.6,7.2
2023,05,06,07,6.3,7.6
2023,05,06,08,7.3,8.4
2023,05,06,09,5.8,8.5
2023,05,06,10,6.4,8.3
2023,05,06,11,5.9,8.3
2023,05,06,12,6.8,8.5
2023,05,06,13,6.4,8.8
2023,05,06,14,6.3,9.6
2023,05,06,15,6.2,9.4
2023,05,06,16,6.3,11.0
2023,05,06,17,7.1,11.1
2023,05,06,18,7.5,10.8
2023,05,06,19,7.1,11.0
2023,05,06,20,10.2,11.9
2023,05,06,21,10.3,10.8
2023,05,06,22,10.6,11.7
2023,05,06,23,10.7,11.4
2023,05,07,00,8.4,10.5
2023,05,07,01,8.6,10.1
2023,05,07,02,7.5,10.1
2023,05,07,03,6.1,8.0
2023,05,07,04,6.8,7.8
2023,05,07,05,5.1,8.0
2023,05,07,06,4.3,8.4
2023,05,07,07,2.6,7.7
2023,05,07,08,2.4,8.6
2023,05,07,09,2.3,8.3
2023,05,07,10,0.6,8.9
2023,05,07,11,1.7,8.5
2023,05,07,12,1.9,8.9
2023,05,07,13,3.8,9.3
2023,05,07,14,5.3,9.4
2023,05,07,15,4.3,9.9
2023,05,07,16,6.7,10.0
2023,05,07,17,8.4,10.6
2023,05,07,18,7.7,11.1
2023,05,07,19,8.4,11.6
2023,05,07,20,8.5,11.5
2023,05,07,21,9.6,11.0
2023,05,07,22,10.2,11.0
2023,05,07,23,9.8,10.4
2023,05,08,00,10.2,10.4
2023,05,08,01,9.0,9.9
2023,05,08,02,9.8,10.4
2023,05,08,03,8.2,9.7
2023,05,08,04,8.4,9.4
2023,05,08,05,8.6,9.6
2023,05,08,06,6.5,9.4
2023,05,08,07,6.9,9.5
2023,05,08,08,6.3,8.8
2023,05,08,09,7.7,10.2
2023,05,08,10,8.7,10.9
2023,05,08,11,8.8,10.4
2023,05,08,12,8.5,11.3
2023,05,08,13,8.0,10.5
2023,05,08,14,6.2,11.6
2023,05,08,15,4.9,11.1
2023,05,08,16,7.9,12.1
2023,05,08,17,6.5,12.1
2023,05,08,18,7.7,12.9
2023,05,08,19,10.5,13.2
2023,05,08,20,9.1,12.6
2023,05,08,21,12.0,11.7
2023,05,08,22,13.3,11.4
2023,05,08,23,10.2,10.6
2023,05,09,00,9.6,9.7
2023,05,09,01,7.3,9.6
2023,05,09,02,4.7,9.0
2023,05,09,03,4.8,8.4
2023,05,09,04,5.8,8.8
2023,05,09,05,4.9,8.5
2023,05,09,06,5.9,7.8
2023,05,09,07,8.8,7.6
2023,05,09,08,8.8,7.1
2023,05,09,09,8.5,6.8
2023,05,09,10,6.9,6.7
2023,05,09,11,4.9,6.6
2023,05,09,12,4.7,6.8
2023,05,09,13,4.2,7.1
2023,05,09,14,5.3,7.3
2023,05,09,15,3.2,7.8
2023,05,09,16,0.6,9.1
2023,05,09,17,3.7,9.4
2023,05,09,18,8.0,8.2
2023,05,09,19,7.8,8.4
2023,05,09,20,8.4,8.4
2023,05,09,21,8.3,8.4
2023,05,09,22,9.2,8.2
2023,05,09,23,8.1,8.1
2023,05,10,00,8.0,8.1
2023,05,10,01,9.1,7.9
2023,05,10,02,8.6,7.9
2023,05,10,03,8.6,7.9
2023,05,10,04,7.2,7.7
2023,05,10,05,6.3,7.5
2023,05,10,06,6.1,7.4
2023,05,10,07,5.6,7.3
2023,05,10,08,5.4,7.6
2023,05,10,09,4.7,7.5
2023,05,10,10,4.2,7.5
2023,05,10,11,6.8,7.5
2023,05,10,12,6.3,7.9
2023,05,10,13,6.7,8.1
2023,05,10,14,6.2,7.9
2023,05,10,15,7.3,8.3
2023,05,10,16,8.9,8.9
2023,05,10,17,9.2,9.3
2023,05,10,18,9.9,9.4
2023,05,10,19,10.4,9.5
2023,05,10,20,9.2,9.9
2023,05,10,21,10.5,10.3
2023,05,10,22,10.2,10.0
2023,05,10,23,9.9,9.9
2023,05,11,00,10.9,10.2
2023,05,11,01,11.1,10.1
2023,05,11,02,8.7,9.8
2023,05,11,03,8.6,9.2
2023,05,11,04,7.2,9.0
2023,05,11,05,7.9,8.8
2023,05,11,06,7.8,9.8
2023,05,11,07,8.2,10.5
2023,05,11,08,7.3,9.9
2023,05,11,09,9.0,10.7
2023,05,11,10,7.6,9.8
2023,05,11,11,5.6,9.5
2023,05,11,12,5.6,9.3
2023,05,11,13,7.4,9.5
2023,05,11,14,5.5,11.9
2023,05,11,15,3.9,10.9
2023,05,11,16,5.6,11.6
2023,05,11,17,6.3,10.6
2023,05,11,18,7.4,10.5
2023,05,11,19,7.9,11.1
2023,05,11,20,9.9,12.6
2023,05,11,21,9.4,10.9
2023,05,11,22,8.4,11.6
2023,05,11,23,9.5,11.4
2023,05,12,00,9.2,11.0
2023,05,12,01,8.0,10.5
2023,05,12,02,7.4,10.3
2023,05,12,03,8.5,10.8
2023,05,12,04,6.3,9.7
2023,05,12,05,4.0,9.2
2023,05,12,06,3.4,9.6
2023,05,12,08,1.9,10.9
2023,05,12,09,1.5,10.8
2023,05,12,10,1.2,11.4
2023,05,12,11,1.4,11.6
2023,05,12,12,1.2,12.4
2023,05,12,13,1.4,15.5
2023,05,12,14,3.3,15.0
2023,05,12,15,5.7,13.3
2023,05,12,16,5.5,11.7
2023,05,12,17,5.6,12.0
2023,05,12,18,3.6,13.1
2023,05,12,19,3.7,13.5
2023,05,12,20,6.2,11.8
2023,05,12,21,6.3,11.1
2023,05,12,22,4.7,12.8
2023,05,12,23,4.8,12.7
2023,05,13,00,6.0,11.4
2023,05,13,01,8.5,11.9
2023,05,13,02,6.2,10.8
2023,05,13,03,8.3,11.1
2023,05,13,04,9.2,11.7
2023,05,13,05,8.5,11.1
2023,05,13,06,8.9,11.4
2023,05,13,07,5.9,10.9
2023,05,13,08,7.4,10.9
2023,05,13,09,4.4,13.0
2023,05,13,10,6.1,12.0
2023,05,13,11,8.2,11.5
2023,05,13,12,7.8,11.8
2023,05,13,13,7.1,12.5
2023,05,13,14,5.8,13.1
2023,05,13,15,5.1,13.7
2023,05,13,16,5.1,13.4
2023,05,13,17,7.8,13.0
2023,05,13,18,9.3,14.0
2023,05,13,19,8.7,14.7
2023,05,13,20,9.0,14.6
2023,05,13,21,5.8,15.4
2023,05,13,22,4.1,15.4
2023,05,13,23,12.5,12.4
2023,05,14,00,11.1,11.9
2023,05,14,01,14.1,9.4
2023,05,14,02,11.8,8.5
2023,05,14,03,14.2,8.5
2023,05,14,04,10.3,8.2
2023,05,14,05,9.7,8.1
2023,05,14,06,6.9,7.7
2023,05,14,07,8.6,7.8
2023,05,14,08,9.7,7.8
2023,05,14,09,9.1,7.6
2023,05,14,10,9.1,7.4
2023,05,14,11,8.6,7.4
2023,05,14,12,7.9,7.5
2023,05,14,13,8.1,7.7
2023,05,14,14,5.0,7.9
2023,05,14,15,6.7,8.0
2023,05,14,16,8.3,8.8
2023,05,14,17,10.0,8.1
2023,05,14,18,10.0,8.3
2023,05,14,19,9.1,8.7
2023,05,14,20,9.1,8.8
2023,05,14,21,8.8,8.9
2023,05,14,22,9.2,9.0
2023,05,14,23,8.0,9.1
2023,05,15,00,6.2,10.4
2023,05,15,01,6.8,11.6
2023,05,15,02,7.4,11.9
2023,05,15,03,6.1,12.7
2023,05,15,04,6.9,11.0
2023,05,15,05,6.7,10.4
2023,05,15,06,6.2,9.4
2023,05,15,07,7.4,8.7
2023,05,15,08,6.6,9.0
2023,05,15,09,5.5,8.4
2023,05,15,10,5.3,9.1
2023,05,15,11,6.2,8.6
2023,05,15,12,5.6,8.5
2023,05,15,13,8.5,8.7
2023,05,15,14,10.1,9.0
