V1,V2,V3,V4,V7,V14
2023,8,1,0,3.6,16.5
2023,8,1,1,4.7,15.8
2023,8,1,2,4.6,16
2023,8,1,3,4.7,15.2
2023,8,1,4,3.9,15.2
2023,8,1,5,4.5,15.1
2023,8,1,6,3.3,15.8
2023,8,1,7,5.6,15.6
2023,8,1,8,4.4,15.7
2023,8,1,9,3.6,15.2
2023,8,1,10,4.4,14.7
2023,8,1,11,1.8,14.9
2023,8,1,12,2.5,15.1
2023,8,1,13,2.4,14.9
2023,8,1,14,2.1,14.6
2023,8,1,15,2.5,14.9
2023,8,1,16,3.7,15.3
2023,8,1,17,3.7,16
2023,8,1,18,4.7,16.1
2023,8,1,19,6.2,15.9
2023,8,1,20,6.1,15.7
2023,8,1,21,6.6,15.9
2023,8,1,22,6.6,16.2
2023,8,1,23,4.3,15.8
2023,8,2,0,5.5,15.5
2023,8,2,1,5.8,16.2
2023,8,2,2,4.7,16.4
2023,8,2,3,4.3,16.1
2023,8,2,4,7.5,15.8
2023,8,2,5,6.9,15.4
2023,8,2,6,6.1,15
2023,8,2,7,5.4,14.9
2023,8,2,8,6.2,14.5
2023,8,2,9,6,14.3
2023,8,2,10,4.8,14.3
2023,8,2,11,3.2,14.1
2023,8,2,12,4.3,14.2
2023,8,2,13,3.9,14.2
2023,8,2,14,4.5,14.3
2023,8,2,15,1.9,14.7
2023,8,2,16,1.9,15.2
2023,8,2,17,4.4,15.2
2023,8,2,18,4.7,16.1
2023,8,2,19,4.9,17
2023,8,2,20,6.5,16.8
2023,8,2,21,5.1,17.3
2023,8,2,22,6.9,15.9
2023,8,2,23,5.8,15.5
2023,8,3,0,6.8,15.4
2023,8,3,1,6.6,15.5
2023,8,3,2,5.9,15.6
2023,8,3,3,5.8,15.6
2023,8,3,4,5.8,15.6
2023,8,3,5,6.5,15.7
2023,8,3,6,6,15.6
2023,8,3,7,5.4,15.4
2023,8,3,8,3.3,14.9
2023,8,3,9,4.6,15.5
2023,8,3,10,4.1,15.6
2023,8,3,11,4.1,16.7
2023,8,3,12,5.1,17.3
2023,8,3,13,5.4,17.8
2023,8,3,14,5,17.8
2023,8,3,15,7.6,17.8
2023,8,3,16,7.3,18.3
2023,8,3,17,7.5,18.2
2023,8,3,18,7.6,18.4
2023,8,3,19,8.3,18.4
2023,8,3,20,8.6,18.1
2023,8,3,21,9.2,18.1
2023,8,3,22,8.6,18
2023,8,3,23,8.8,17.4
2023,8,4,0,8.6,16.7
2023,8,4,1,9.4,17
2023,8,4,2,8.9,16.7
2023,8,4,3,9,16.8
2023,8,4,4,9.4,16.7
2023,8,4,5,9.6,16.5
2023,8,4,6,9.1,16.4
2023,8,4,7,8.5,16.2
2023,8,4,8,9.1,16
2023,8,4,9,9.2,15.8
2023,8,4,10,8.9,15.8
2023,8,4,11,10.2,16.2
2023,8,4,12,10.1,16.4
2023,8,4,13,9.6,16.3
2023,8,4,14,9.9,16.3
2023,8,4,15,8.5,16
2023,8,4,16,11.3,16.6
2023,8,4,17,9.1,16.2
2023,8,4,18,7.3,15.9
2023,8,4,19,9.3,15.9
2023,8,4,20,10.2,15.8
2023,8,4,21,11.3,15.9
2023,8,4,22,7.8,15.7
2023,8,4,23,4.2,15.7
2023,8,5,0,8.4,17.4
2023,8,5,1,9.2,15.6
2023,8,5,2,7.8,15.5
2023,8,5,3,7.8,15.5
2023,8,5,4,7.8,16
2023,8,5,5,7.6,15.8
2023,8,5,6,8.3,15
2023,8,5,7,6.2,15.1
2023,8,5,8,3.2,15.2
2023,8,5,9,0.6,15.1
2023,8,5,10,2.5,14.1
2023,8,5,11,3.4,14.4
2023,8,5,12,2.7,15.2
2023,8,5,13,3.9,15.5
2023,8,5,14,2.5,16.4
2023,8,5,15,2.1,14
2023,8,5,16,2.4,14.4
2023,8,5,17,2.5,14.7
2023,8,5,18,0.6,16.8
2023,8,5,19,1.1,17.1
2023,8,5,20,1.6,20.6
2023,8,5,21,2.9,18.7
2023,8,5,22,3.9,17.4
2023,8,5,23,2.7,16.5
2023,8,6,0,4.9,15.9
2023,8,6,1,6.1,16.4
2023,8,6,2,6.3,15.8
2023,8,6,3,5.9,15
2023,8,6,4,5,14.3
2023,8,6,5,6.6,15.2
2023,8,6,6,6.7,16.4
2023,8,6,7,7.3,15.9
2023,8,6,8,6.5,16.2
2023,8,6,9,6.9,15.1
2023,8,6,10,5.3,15.6
2023,8,6,11,5.4,14.5
2023,8,6,12,5.9,14.4
2023,8,6,13,5,15.2
2023,8,6,14,5.1,14.6
2023,8,6,15,6.7,14.7
2023,8,6,16,7.9,14.7
2023,8,6,17,9.2,15.3
2023,8,6,18,8.3,15.5
2023,8,6,19,9.7,16.3
2023,8,6,20,8.4,16.6
2023,8,6,21,8.8,16.6
2023,8,6,22,7.4,16.2
2023,8,6,23,8.2,15.9
2023,8,7,0,8.8,15.9
2023,8,7,1,8.5,15.9
2023,8,7,2,8.5,15.8
2023,8,7,3,8.4,15.8
2023,8,7,4,6.4,16.4
2023,8,7,5,4.5,15.7
2023,8,7,6,5.7,14.8
2023,8,7,7,5.7,15.9
2023,8,7,8,4.2,15.6
2023,8,7,9,4.6,17
2023,8,7,10,4.2,16.5
2023,8,7,11,4.1,17.2
2023,8,7,12,2.7,16.5
2023,8,7,13,2.2,17.6
2023,8,7,14,0,17.3
2023,8,7,15,5.2,16.8
2023,8,7,16,2.9,16.8
2023,8,7,17,0.1,18.7
2023,8,7,18,0.9,19.2
2023,8,7,19,2.8,17.7
2023,8,7,20,4.4,18.5
2023,8,7,21,3.4,18.6
2023,8,7,22,3.8,18.2
2023,8,7,23,4.8,18.1
2023,8,8,0,4,17.6
2023,8,8,1,5.6,17.6
2023,8,8,2,5.7,17.4
2023,8,8,3,5.4,17.5
2023,8,8,4,6.1,17.5
2023,8,8,5,6,16.3
2023,8,8,6,7.6,16.1
2023,8,8,7,6.6,16.3
2023,8,8,9,9.4,15.8
2023,8,8,10,7.6,15.7
2023,8,8,11,9.5,15.3
2023,8,8,12,10.3,15.5
2023,8,8,13,11.1,15.7
2023,8,8,14,9.8,15.7
2023,8,8,15,10.5,15.7
2023,8,8,16,10.7,15.9
2023,8,8,17,11.4,15.9
2023,8,8,18,12.4,15.8
2023,8,8,19,13,16.1
2023,8,8,20,13.2,16.3
2023,8,8,21,13.3,16.3
2023,8,8,22,11.7,16.5
2023,8,8,23,13.4,16.2
2023,8,9,0,14.2,16.3
2023,8,9,1,13.8,15.5
2023,8,9,2,11.9,15.1
2023,8,9,3,9.3,16.2
2023,8,9,4,8,17.2
2023,8,9,5,7.5,16.6
2023,8,9,6,6.8,16.7
2023,8,9,7,2.4,14.9
2023,8,9,8,3.9,15.4
2023,8,9,9,6.8,13.5
2023,8,9,10,7.5,13.3
2023,8,9,11,7.1,13.9
2023,8,9,12,7.3,14.9
2023,8,9,13,7,13.9
2023,8,9,14,5,13.4
2023,8,9,15,7.3,14.7
2023,8,9,16,7.3,14.8
2023,8,9,17,6.9,15
2023,8,9,18,8.6,17.5
2023,8,9,19,9.3,18.4
2023,8,9,20,9.2,18.7
2023,8,9,21,8.1,18.2
2023,8,9,22,5.8,16.7
2023,8,9,23,5.4,18.6
2023,8,10,0,8.1,17.3
2023,8,10,1,8,17.2
2023,8,10,2,7.8,16.4
2023,8,10,3,5.6,15.4
2023,8,10,4,8.9,18
2023,8,10,5,9.1,16.4
2023,8,10,6,8.9,14.8
2023,8,10,7,9.2,17.6
2023,8,10,8,6.6,16.8
2023,8,10,9,7.7,15.2
2023,8,10,10,6.3,15.4
2023,8,10,11,7.2,15.1
2023,8,10,12,5.7,15.1
2023,8,10,13,6.8,15.4
2023,8,10,14,6.5,16.9
2023,8,10,15,5.8,16.4
2023,8,10,16,6.1,16.5
2023,8,10,17,6,17.1
2023,8,10,18,6.2,17.2
2023,8,10,19,7.1,18
2023,8,10,20,7.2,17.9
2023,8,10,21,8.2,16.7
2023,8,10,22,7,17.3
2023,8,10,23,8.1,16.3
2023,8,11,0,8,16.8
2023,8,11,1,7.6,16.9
2023,8,11,2,8.1,17.3
2023,8,11,3,8.8,17.1
2023,8,11,4,9.1,16.5
2023,8,11,5,10.1,16.7
2023,8,11,6,10.3,17.1
2023,8,11,7,12.6,16.4
2023,8,11,8,10.1,16.2
2023,8,11,9,9.9,16.2
2023,8,11,10,10,15.7
2023,8,11,11,8.5,16.1
2023,8,11,12,7.4,14.5
2023,8,11,13,7.9,14.4
2023,8,11,14,8.7,14.6
2023,8,11,15,7.4,15.6
2023,8,11,16,6.8,15
2023,8,11,17,8.9,15.2
2023,8,11,18,10.7,15.5
2023,8,11,19,9.8,15.5
2023,8,11,20,11,15.9
2023,8,11,21,10.4,16.5
2023,8,11,22,10.1,16.4
2023,8,11,23,9.5,16.4
2023,8,12,0,11.2,17
2023,8,12,1,9.3,18.5
2023,8,12,2,10.1,18
2023,8,12,3,10,16.8
2023,8,12,4,9.1,17.4
2023,8,12,5,7.8,16
