#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 08 01 00 00 217  3.6  3.7 99.00 99.00 99.00 999 1013.2  16.5 999.0  15.3 99.0 99.00
2023 08 01 01 00 227  4.7  5.0 99.00 99.00 99.00 999 1013.9  15.8 999.0  14.3 99.0 99.00
2023 08 01 02 00 245  4.6  4.8 99.00 99.00 99.00 999 1014.3  16.0 999.0  14.0 99.0 99.00
2023 08 01 03 00 241  4.7  4.8 99.00 99.00 99.00 999 1014.5  15.2 999.0  14.5 99.0 99.00
2023 08 01 04 00 249  3.9  4.2 99.00 99.00 99.00 999 1014.5  15.2 999.0  15.1 99.0 99.00
2023 08 01 05 00 256  4.5  4.6 99.00 99.00 99.00 999 1014.7  15.1 999.0  15.1 99.0 99.00
2023 08 01 06 00 274  3.3  3.5 99.00 99.00 99.00 999 1014.6  15.8 999.0  15.8 99.0 99.00
2023 08 01 07 00 306  5.6  5.7 99.00 99.00 99.00 999 1014.3  15.6 999.0  15.6 99.0 99.00
2023 08 01 08 00 306  4.4  4.6 99.00 99.00 99.00 999 1014.9  15.7 999.0  15.7 99.0 99.00
2023 08 01 09 00 300  3.6  3.7 99.00 99.00 99.00 999 1015.6  15.2 999.0  15.2 99.0 99.00
2023 08 01 10 00 303  4.4  4.4 99.00 99.00 99.00 999 1016.2  14.7 999.0  14.7 99.0 99.00
2023 08 01 11 00 293  1.8  2.0 99.00 99.00 99.00 999 1016.9  14.9 999.0  14.4 99.0 99.00
2023 08 01 12 00 306  2.5  2.5 99.00 99.00 99.00 999 1017.3  15.1 999.0  14.1 99.0 99.00
2023 08 01 13 00 279  2.4  2.5 99.00 99.00 99.00 999 1017.6  14.9 999.0  14.4 99.0 99.00
2023 08 01 14 00 261  2.1  2.1 99.00 99.00 99.00 999 1017.8  14.6 999.0  14.5 99.0 99.00
2023 08 01 15 00 245  2.5  2.5 99.00 99.00 99.00 999 1018.1  14.9 999.0  14.5 99.0 99.00
2023 08 01 16 00 244  3.7  3.8 99.00 99.00 99.00 999 1018.2  15.3 999.0  13.9 99.0 99.00
2023 08 01 17 00 221  3.7  3.8 99.00 99.00 99.00 999 1018.0  16.0 999.0  13.2 99.0 99.00
2023 08 01 18 00 218  4.7  4.8 99.00 99.00 99.00 999 1017.9  16.1 999.0  13.7 99.0 99.00
2023 08 01 19 00 215  6.2  6.4 99.00 99.00 99.00 999 1017.7  15.9 999.0  14.4 99.0 99.00
2023 08 01 20 00 223  6.1  6.4 99.00 99.00 99.00 999 1017.9  15.7 999.0  14.7 99.0 99.00
2023 08 01 21 00 221  6.6  6.9 99.00 99.00 99.00 999 1018.2  15.9 999.0  14.7 99.0 99.00
2023 08 01 22 00 225  6.6  6.9 99.00 99.00 99.00 999 1018.2  16.2 999.0  14.2 99.0 99.00
2023 08 01 23 00 227  4.3  4.6 99.00 99.00 99.00 999 1018.7  15.8 999.0  14.4 99.0 99.00
2023 08 02 00 00 240  5.5  5.8 99.00 99.00 99.00 999 1019.0  15.5 999.0  14.0 99.0 99.00
2023 08 02 01 00 303  5.8  6.0 99.00 99.00 99.00 999 1020.0  16.2 999.0  12.4 99.0 99.00
2023 08 02 02 00 283  4.7  5.0 99.00 99.00 99.00 999 1020.2  16.4 999.0  12.3 99.0 99.00
2023 08 02 03 00 297  4.3  4.5 99.00 99.00 99.00 999 1020.0  16.1 999.0  12.9 99.0 99.00
2023 08 02 04 00 293  7.5  7.7 99.00 99.00 99.00 999 1019.8  15.8 999.0  13.7 99.0 99.00
2023 08 02 05 00 291  6.9  7.2 99.00 99.00 99.00 999 1019.8  15.4 999.0  13.8 99.0 99.00
2023 08 02 06 00 290  6.1  6.3 99.00 99.00 99.00 999 1019.8  15.0 999.0  13.7 99.0 99.00
2023 08 02 07 00 301  5.4  5.5 99.00 99.00 99.00 999 1019.9  14.9 999.0  12.9 99.0 99.00
2023 08 02 08 00 299  6.2  6.5 99.00 99.00 99.00 999 1020.1  14.5 999.0  12.4 99.0 99.00
2023 08 02 09 00 309  6.0  6.2 99.00 99.00 99.00 999 1020.3  14.3 999.0  11.9 99.0 99.00
2023 08 02 10 00 311  4.8  5.1 99.00 99.00 99.00 999 1020.6  14.3 999.0  11.7 99.0 99.00
2023 08 02 11 00 302  3.2  3.4 99.00 99.00 99.00 999 1021.2  14.1 999.0  12.1 99.0 99.00
2023 08 02 12 00 302  4.3  4.4 99.00 99.00 99.00 999 1021.6  14.2 999.0  11.8 99.0 99.00
2023 08 02 13 00 303  3.9  4.1 99.00 99.00 99.00 999 1021.5  14.2 999.0  12.3 99.0 99.00
2023 08 02 14 00 307  4.5  4.6 99.00 99.00 99.00 999 1021.7  14.3 999.0  12.3 99.0 99.00
2023 08 02 15 00 290  1.9  2.0 99.00 99.00 99.00 999 1021.9  14.7 999.0  12.7 99.0 99.00
2023 08 02 16 00 233  1.9  1.9 99.00 99.00 99.00 999 1021.5  15.2 999.0  12.2 99.0 99.00
2023 08 02 17 00 239  4.4  4.5 99.00 99.00 99.00 999 1021.2  15.2 999.0  12.5 99.0 99.00
2023 08 02 18 00 215  4.7  4.8 99.00 99.00 99.00 999 1021.2  16.1 999.0  12.5 99.0 99.00
2023 08 02 19 00 206  4.9  5.2 99.00 99.00 99.00 999 1021.0  17.0 999.0  13.8 99.0 99.00
2023 08 02 20 00 203  6.5  6.7 99.00 99.00 99.00 999 1020.9  16.8 999.0  13.5 99.0 99.00
2023 08 02 21 00 196  5.1  5.5 99.00 99.00 99.00 999 1020.9  17.3 999.0  14.1 99.0 99.00
2023 08 02 22 00 212  6.9  7.2 99.00 99.00 99.00 999 1020.5  15.9 999.0  13.5 99.0 99.00
2023 08 02 23 00 217  5.8  6.2 99.00 99.00 99.00 999 1020.7  15.5 999.0  14.4 99.0 99.00
2023 08 03 00 00 223  6.8  7.1 99.00 99.00 99.00 999 1020.7  15.4 999.0  14.5 99.0 99.00
2023 08 03 01 00 224  6.6  6.9 99.00 99.00 99.00 999 1021.0  15.5 999.0  14.4 99.0 99.00
2023 08 03 02 00 221  5.9  6.2 99.00 99.00 99.00 999 1021.2  15.6 999.0  14.1 99.0 99.00
2023 08 03 03 00 221  5.8  6.0 99.00 99.00 99.00 999 1021.1  15.6 999.0  14.2 99.0 99.00
2023 08 03 04 00 210  5.8  6.3 99.00 99.00 99.00 999 1020.9  15.6 999.0  14.8 99.0 99.00
2023 08 03 05 00 223  6.5  6.7 99.00 99.00 99.00 999 1020.7  15.7 999.0  14.7 99.0 99.00
2023 08 03 06 00 212  6.0  6.2 99.00 99.00 99.00 999 1020.5  15.6 999.0  14.5 99.0 99.00
2023 08 03 07 00 215  5.4  5.7 99.00 99.00 99.00 999 1020.3  15.4 999.0  14.5 99.0 99.00
2023 08 03 08 00 210  3.3  3.6 99.00 99.00 99.00 999 1020.2  14.9 999.0  14.7 99.0 99.00
2023 08 03 09 00 221  4.6  4.7 99.00 99.00 99.00 999 1020.4  15.5 999.0  14.7 99.0 99.00
2023 08 03 10 00 234  4.1  4.2 99.00 99.00 99.00 999 1020.5  15.6 999.0  14.9 99.0 99.00
2023 08 03 11 00 195  4.1  4.3 99.00 99.00 99.00 999 1020.5  16.7 999.0  15.3 99.0 99.00
2023 08 03 12 00 190  5.1  5.4 99.00 99.00 99.00 999 1020.8  17.3 999.0  15.2 99.0 99.00
2023 08 03 13 00 185  5.4  5.7 99.00 99.00 99.00 999 1020.6  17.8 999.0  14.8 99.0 99.00
2023 08 03 14 00 179  5.0  5.2 99.00 99.00 99.00 999 1020.5  17.8 999.0  14.9 99.0 99.00
2023 08 03 15 00 150  7.6  7.8 99.00 99.00 99.00 999 1020.3  17.8 999.0  15.5 99.0 99.00
2023 08 03 16 00 164  7.3  7.7 99.00 99.00 99.00 999 1020.0  18.3 999.0  15.5 99.0 99.00
2023 08 03 17 00 152  7.5  7.9 99.00 99.00 99.00 999 1019.4  18.2 999.0  16.3 99.0 99.00
2023 08 03 18 00 153  7.6  7.9 99.00 99.00 99.00 999 1019.2  18.4 999.0  16.3 99.0 99.00
2023 08 03 19 00 152  8.3  9.0 99.00 99.00 99.00 999 1018.6  18.4 999.0  15.6 99.0 99.00
2023 08 03 20 00 148  8.6  9.0 99.00 99.00 99.00 999 1018.3  18.1 999.0  15.4 99.0 99.00
2023 08 03 21 00 149  9.2  9.7 99.00 99.00 99.00 999 1018.0  18.1 999.0  14.9 99.0 99.00
2023 08 03 22 00 154  8.6  8.8 99.00 99.00 99.00 999 1018.1  18.0 999.0  15.3 99.0 99.00
2023 08 03 23 00 154  8.8  9.0 99.00 99.00 99.00 999 1018.1  17.4 999.0  15.6 99.0 99.00
2023 08 04 00 00 154  8.6  9.0 99.00 99.00 99.00 999 1017.9  16.7 999.0  15.9 99.0 99.00
2023 08 04 01 00 161  9.4  9.7 99.00 99.00 99.00 999 1017.8  17.0 999.0  15.5 99.0 99.00
2023 08 04 02 00 160  8.9  9.6 99.00 99.00 99.00 999 1017.5  16.7 999.0  15.5 99.0 99.00
2023 08 04 03 00 160  9.0  9.7 99.00 99.00 99.00 999 1017.3  16.8 999.0  15.5 99.0 99.00
2023 08 04 04 00 161  9.4  9.9 99.00 99.00 99.00 999 1017.2  16.7 999.0  15.9 99.0 99.00
2023 08 04 05 00 157  9.6 10.2 99.00 99.00 99.00 999 1016.7  16.5 999.0  16.0 99.0 99.00
2023 08 04 06 00 156  9.1  9.6 99.00 99.00 99.00 999 1016.4  16.4 999.0  15.8 99.0 99.00
2023 08 04 07 00 157  8.5  8.8 99.00 99.00 99.00 999 1016.4  16.2 999.0  15.6 99.0 99.00
2023 08 04 08 00 152  9.1  9.5 99.00 99.00 99.00 999 1015.6  16.0 999.0  15.3 99.0 99.00
2023 08 04 09 00 157  9.2  9.6 99.00 99.00 99.00 999 1015.6  15.8 999.0  15.5 99.0 99.00
2023 08 04 10 00 152  8.9  9.2 99.00 99.00 99.00 999 1015.8  15.8 999.0  15.5 99.0 99.00
2023 08 04 11 00 147 10.2 10.5 99.00 99.00 99.00 999 1016.1  16.2 999.0  15.9 99.0 99.00
2023 08 04 12 00 146 10.1 10.5 99.00 99.00 99.00 999 1016.0  16.4 999.0  15.1 99.0 99.00
2023 08 04 13 00 152  9.6  9.9 99.00 99.00 99.00 999 1016.1  16.3 999.0  14.7 99.0 99.00
2023 08 04 14 00 148  9.9 10.4 99.00 99.00 99.00 999 1016.0  16.3 999.0  15.0 99.0 99.00
2023 08 04 15 00 148  8.5  9.1 99.00 99.00 99.00 999 1015.9  16.0 999.0  15.7 99.0 99.00
2023 08 04 16 00 139 11.3 11.7 99.00 99.00 99.00 999 1015.2  16.6 999.0  15.8 99.0 99.00
2023 08 04 17 00 152  9.1  9.4 99.00 99.00 99.00 999 1015.4  16.2 999.0  15.6 99.0 99.00
2023 08 04 18 00 163  7.3  7.8 99.00 99.00 99.00 999 1016.1  15.9 999.0  15.9 99.0 99.00
2023 08 04 19 00 156  9.3 11.1 99.00 99.00 99.00 999 1015.7  15.9 999.0  15.9 99.0 99.00
2023 08 04 20 00 149 10.2 10.7 99.00 99.00 99.00 999 1015.3  15.8 999.0  15.8 99.0 99.00
2023 08 04 21 00 146 11.3 11.7 99.00 99.00 99.00 999 1015.1  15.9 999.0  15.9 99.0 99.00
2023 08 04 22 00 129  7.8  8.2 99.00 99.00 99.00 999 1014.7  15.7 999.0  15.7 99.0 99.00
2023 08 04 23 00 149  4.2  4.3 99.00 99.00 99.00 999 1015.1  15.7 999.0  15.7 99.0 99.00
2023 08 05 00 00 191  8.4  9.1 99.00 99.00 99.00 999 1015.4  17.4 999.0  17.4 99.0 99.00
2023 08 05 01 00 137  9.2  9.8 99.00 99.00 99.00 999 1014.3  15.6 999.0  15.6 99.0 99.00
2023 08 05 02 00 158  7.8  8.4 99.00 99.00 99.00 999 1014.3  15.5 999.0  15.5 99.0 99.00
2023 08 05 03 00 183  7.8  8.3 99.00 99.00 99.00 999 1014.2  15.5 999.0  15.5 99.0 99.00
2023 08 05 04 00 191  7.8  8.0 99.00 99.00 99.00 999 1014.1  16.0 999.0  16.0 99.0 99.00
2023 08 05 05 00 144  7.6  7.7 99.00 99.00 99.00 999 1013.1  15.8 999.0  15.8 99.0 99.00
2023 08 05 06 00 137  8.3  8.7 99.00 99.00 99.00 999 1012.8  15.0 999.0  15.0 99.0 99.00
2023 08 05 07 00 154  6.2  6.5 99.00 99.00 99.00 999 1012.7  15.1 999.0  15.1 99.0 99.00
