BurrowID,Bird 1 Band,Bird 1 Band Year,Bird 1 Weight,Bird 1 Chord,Bird 2 Band,Bird 2 Band Year,Bird 2 Weight,Bird 2 Chord,Chick band,Initial notes,End-Season Notes,,
E01,2941-47115,2022,47,16.5,2941-47134,2022,47,16.5,NA,Egg,Abandoned,,Abandoned
E02,2661-34228,2021,46,15.9,2661-34220,2021,52,15.9,3011-25704,Egg,Successful Breeding,,Success
E03,2661-34226,2021,44,16,2941-47114,2022,40,15.6,NA,egg laid 7/6,Successful Breeding,,
E04,2661-34224,2021,,15.9,2941-47118,2022,50,15,NA,,Successful Breeding,,Success
E05,,,,,,,,,NA,Unattended egg found 11 July,Non-breeding,,non-breeding
N06,1961-19764,2020,46,16.1,1961-19768/2661-34268,2020,47,16.6,3011-25710,Double-banded bird…same pair as last year,Successful Breeding,,Success
E07,2941-47132,2022?,48,15.8,2661-34253,2021,50,16.4,,Both birds only have one leg…,Failed Breeding,,failed
N08,2941-47113,2022,53,16.6,,,,,,"Triggers stick tests daily. Egg and incubating adult found 6/16. Very cold, buried egg found 7/3 despite signs of activity.",Abandoned,,abandoned
N09,2661-34249,2021,43,16.6,2661-34211,2020,48,15.3,3011-25715,,Successful Breeding,,Success
E10,2941-47124,2022,43,15.5,2941-47126,2022,53,15.9,,,"Unknown, Active",,
E11,2661-34251,2021,51,16.1,2661-34231,2021,50,15.8,3011-25713,,Successful Breeding,,Success
E12,2661-34252,2021,42,15.4,2661-34232,2021,60,16.3,,egg,Failed Breeding,,failed
E13,2661-34242,2021,50,15.9,2941-47128,2022,48,15.8,3011-25728,,Successful Breeding,,Success
N14,1996-19733,2020,47,16.4,2661-34234,2021,51,15.8,,,Successful Breeding,,success
E15,2941-47127,2022,38,15.9,2661-34259,2021,49,16.5,,egg,Successful Breeding,,unknown
N16,,,,,,,,,,Inactive/Filled In,Inactive,,not used 2022
E17,,,,,,,,,,Suspect playing house,Non-breeding,,non-breeding
N18,,,,,,,,,,"too deep to grub, triggers stick tests",Inactive,,unknown
N19,2661-34240,2021,42,16.4,1961-19779,2020,46,16.5,3011-25708,egg,Successful Breeding,,success
